	Rating	Numberofratings	NumberofOscars	Titleofthemovie	Penalty	RevisedRating	Rating2	CorrRating
0	9.2	2700500	0	A remény rabjai	0.0	9.2	0.0	9.2
1	9.2	1874568	3	A keresztapa	0.8	8.4	0.5	9.7
2	9.0	2674302	2	A sötét lovag	0.0	9.0	0.3	9.3
3	9.0	1280865	6	A keresztapa II	1.4	7.6	1.0	10.0
4	9.0	797622	0	Tizenkét dühös ember	1.9	7.1	0.0	9.0
5	8.9	1365144	7	Schindler listája	1.3	7.6	1.0	9.9
6	8.9	1859601	11	A Gyűrűk Ura: A király visszatér	0.8	8.1	1.5	10.4
7	8.8	2072977	1	Ponyvaregény	0.6	8.2	0.3	9.1
8	8.8	1888941	4	A Gyűrűk Ura: A gyűrű szövetsége	0.8	8.0	0.5	9.3
9	8.8	767110	0	A Jó, a Rossz és a Csúf	1.9	6.9	0.0	8.8
10	8.8	2097651	6	Forrest Gump	0.6	8.2	1.0	9.8
14	8.7	1301659	1	A Birodalom visszavág	1.4	7.3	0.3	9.0
16	8.7	1171414	1	Nagymenők	1.5	7.2	0.3	9.0
15	8.7	1927209	4	Mátrix	0.8	7.9	0.5	9.2
11	8.7	2145478	0	Harcosok klubja	0.6	8.1	0.0	8.7
13	8.7	2372524	4	Eredet	0.3	8.4	0.5	9.2
12	8.7	1679135	2	A Gyűrűk Ura: A két torony	1.0	7.7	0.3	9.0
22	8.6	1401974	5	Ryan közlegény megmentése	1.3	7.3	0.5	9.1
26	8.6	1312707	0	Halálsoron	1.4	7.2	0.0	8.6
25	8.6	701008	3	Az élet szép	2.0	6.6	0.5	9.1
24	8.6	1857792	1	Csillagok között	0.8	7.8	0.3	8.9
